sheet_name,seed,lookback,train_ratio,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
jesuscoin,17,14,0.8,7.0321513179015475e-09,8.711650265368962e-09,12.72263869569355,11.612125021142717,0.5882352941176471,0.0856442577030812,17
k9financedao,17,14,0.8,7.133734600692936e-07,7.409727308011107e-07,21.66307599963683,24.508248525031007,0.5294117647058824,0.0298520180080993,17
katanainu,17,14,0.8,0.0001438605962677,0.0001500997941794,44.35130053427856,35.294283780016976,0.2352941176470588,-0.0843388660076217,17
kekistan,17,14,0.8,8.79518648856675e-06,8.979833050874762e-06,147.20208804161044,81.7200273975153,0.1764705882352941,-0.1205767909251878,17
kiboshib,17,14,0.8,3.308346656691715e-06,3.670086192136984e-06,39.250808620787694,31.916937628125712,0.0588235294117647,-0.127803764538437,17
kimbo,17,14,0.8,8.894119770801375e-06,1.08161953185894e-05,15.834116236986535,14.244895516201415,0.2941176470588235,-0.0165879826175235,17
kittenhaimer,17,14,0.8,0.0400413372026861,0.0416088115300137,33.888865018222035,28.454846991832213,0.2352941176470588,-0.0726923995446619,17
koalaai,17,14,0.8,2.775252763178977e-07,3.057062266073297e-07,20.705818556368257,19.096341886643238,0.3529411764705882,-0.0296903500874923,17
komainu,17,14,0.8,0.0276703981882337,0.0280932655942031,61.311907081573416,45.88268340570155,0.1764705882352941,-0.1496036006311097,17
leash,17,14,0.8,38.49194655901232,41.966376978527165,18.154873185850978,16.346232472396398,0.2941176470588235,-0.0377676265960789,17
lethimcook,17,14,0.8,0.0006189109587962,0.0007482479430389,26.267209843487187,28.821562013373057,0.5294117647058824,-0.0353766096260002,17
lilyscoin,17,14,0.8,0.0257494434150964,0.0263125274092202,110.76264168745084,161.90026651454866,0.9411764705882352,0.2107826814175745,17
literallyme,17,14,0.8,4.612031617963919e-05,5.968222056229007e-05,30.66184768820496,26.36394536150316,0.5882352941176471,-0.0019754171772249,17
