seed,sheet_name,variant,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
23,fefeoneth,V0,0.0034964011764705883,0.0035426945611895977,100.0,200.0,0.6470588235294118,0.07614393732224206,17
23,fefeoneth,V1,0.0034964011764705883,0.0035426945611895977,100.0,200.0,0.6470588235294118,0.07614393732224206,17
23,fefeoneth,V2,0.004824868017117147,0.0048879564037144045,142.80371432827937,82.00382528203643,0.35294117647058826,-0.07614393732224206,17
23,fefeoneth,V3,0.0008201290588235296,0.000928030970347561,22.69817155472623,26.457564613950503,0.6470588235294118,0.07614393732224206,17
23,feistydogenft,V0,9.092235294117647e-05,9.184037398724837e-05,100.0,200.0,0.8823529411764706,0.06611848199417451,17
23,feistydogenft,V1,9.092235294117647e-05,9.184037398724837e-05,100.0,200.0,0.8823529411764706,0.06611848199417451,17
23,feistydogenft,V2,0.00012228567908526065,0.0001229788664242924,139.5421605331708,80.92127145243062,0.11764705882352941,-0.06611848199417451,17
23,feistydogenft,V3,2.2779823529411768e-05,2.401448818942432e-05,24.538065081404223,28.263175426826482,0.8823529411764706,0.06611848199417451,17
23,fighttomaga,V0,0.002199770588235294,0.0022905011723021768,100.0,200.0,0.8823529411764706,0.16171148078230527,17
23,fighttomaga,V1,0.002199770588235294,0.0022905011723021768,100.0,200.0,0.8823529411764706,0.16171148078230527,17
23,fighttomaga,V2,0.0010718056351474831,0.0011977484032925654,60.487649865480094,42.374251901236796,0.35294117647058826,-0.05840264305868307,17
23,fighttomaga,V3,0.00036915258823529417,0.0004324866923444685,16.75628101482017,18.83492111869219,0.8823529411764706,0.16171148078230527,17
23,firstreply,V0,0.0020443464705882353,0.002137163396581608,100.0,200.0,0.8823529411764706,0.1620725106807288,17
23,firstreply,V1,0.001931127949167738,0.0020291477515864986,101.46503117304468,178.5083102193074,0.7647058823529411,0.13211653077784802,17
23,firstreply,V2,0.0006151793795709127,0.0007836801756647134,42.734559084316786,30.164285223187402,0.5294117647058824,-0.006636055295030491,17
23,firstreply,V3,0.0006037280588235296,0.0011782757484775845,25.242525934202654,22.43912839132293,0.9411764705882353,0.17518100043817503,17
23,fisttrumppump,V0,0.5162621962888114,0.5363334888059146,218.91968375827875,96.83255768261544,0.35294117647058826,-0.06923925084570579,17
23,fisttrumppump,V1,0.5354772978714716,0.5705330647571942,230.2910356432747,97.22794063125328,0.35294117647058826,-0.06923925084570579,17
23,fisttrumppump,V2,0.4716527343561862,0.4945572793366892,199.60364671125984,92.3187888633249,0.35294117647058826,-0.06923925084570579,17
23,fisttrumppump,V3,0.25314178498024004,0.2825634561010341,90.77874105967709,60.84983707652799,0.47058823529411764,0.05761650271061809,17
23,floos,V0,0.0006427188235294118,0.0006465364142058185,100.0,200.0,0.5882352941176471,-0.011612054603177846,17
23,floos,V1,0.003357621796324875,0.005848055193385398,485.581966680352,177.27620556703255,0.6470588235294118,0.09932696137191888,17
23,floos,V2,0.0006266001751382192,0.0006558205897451586,98.81532433305128,64.62525534166829,0.4117647058823529,0.011612054603177846,17
23,floos,V3,0.0009446611248837143,0.0011123683642436976,149.49448161524177,77.25138994694669,0.5294117647058824,0.036386469428424974,17
23,fofar,V0,4.948235294117646e-06,4.992866676275146e-06,100.0,200.0,0.7058823529411765,0.06943615776758041,17
23,fofar,V1,1.985058823529412e-05,3.382447964905612e-05,356.50093892362696,193.16814033433465,0.5882352941176471,0.042556132119956284,17
23,fofar,V2,2.672314346432172e-06,2.775643679430009e-06,56.71377819839444,43.12980602866072,0.29411764705882354,-0.06943615776758041,17
23,fofar,V3,1.1163529411764706e-05,1.1375263668566622e-05,226.001455139173,105.49096255936547,0.29411764705882354,-0.06943615776758041,17
23,forest,V0,0.0035588570588235293,0.003705126832225379,100.0,200.0,0.7647058823529411,0.1448303413737902,17
23,forest,V1,0.019408050078051253,0.03208237618014249,639.8091850110359,156.21354600405206,0.35294117647058826,-0.034500352486070404,17
23,forest,V2,0.00938831099368169,0.009737356970773338,293.72665895857256,113.03686832620079,0.23529411764705882,-0.1448303413737902,17
23,forest,V3,0.0020418618482382182,0.003365313522687629,53.11673371617629,37.420783022432616,0.7647058823529411,0.03399030261498573,17
23,gamestop,V0,0.00023450117647058825,0.0002362293768900946,100.0,200.0,0.6470588235294118,0.0633390661568179,17
23,gamestop,V1,0.0004194594022619206,0.0006874644335112683,167.43183337656254,194.36082704967467,0.6470588235294118,0.059792528296068334,17
23,gamestop,V2,2.091627469256394e-05,2.633400503987128e-05,9.24630278458986,9.097788260935836,0.7647058823529411,0.1017960971021241,17
23,gamestop,V3,0.0002580009411764706,0.0003482628863216103,103.39925640022014,57.979044344875774,0.7647058823529411,0.07872083078845023,17
23,gameswift,V0,0.022126659146666096,0.023180326143682144,39.289717204409094,49.54326261602682,0.8235294117647058,0.08514521564274224,17
23,gameswift,V1,0.039175414034903315,0.04230466137398975,73.90712651311841,101.74262448612679,0.6470588235294118,0.026377993601503107,17
23,gameswift,V2,0.02868668383596453,0.030842554721910744,56.19820870581383,41.71890945363752,0.17647058823529413,-0.08514521564274224,17
23,gameswift,V3,0.010218733601664108,0.013057981210756775,19.11097000511894,20.08600552478843,0.7058823529411765,0.05243708001318046,17
23,gdog,V0,2.747058823529412e-06,2.7545918882092566e-06,100.0,200.0,0.5882352941176471,0.004002770370807259,17
23,gdog,V1,2.747058823529412e-06,2.7545918882092566e-06,100.0,200.0,0.5882352941176471,0.004002770370807259,17
23,gdog,V2,2.31253579281378e-06,2.3280609257098545e-06,85.13780092713137,59.33413624769577,0.4117647058823529,-0.004002770370807259,17
23,gdog,V3,2.213647058823529e-06,3.1500123435799235e-06,80.41207852467754,53.48538531472964,0.5294117647058824,0.008504560024229007,17
23,gikocat,V0,1.3676594631187868,1.389373808149179,78.90702261879247,55.12733451932704,0.058823529411764705,-0.17039935126577735,17
23,gikocat,V1,1.7518343926190079,2.09568345635376,100.58701400087844,61.856009879836215,0.11764705882352941,-0.13379482313543467,17
23,gikocat,V2,1.351045026796898,1.5144032654531125,87.92304983989044,54.66202981686384,0.23529411764705882,-0.09394102688307722,17
23,gikocat,V3,1.2569253289833175,1.631972620344473,69.48218383574263,47.67554784297193,0.058823529411764705,-0.17039935126577735,17
23,ginnanthecat,V0,3.111764705882353e-07,3.3677536587289683e-07,100.0,200.0,0.9411764705882353,0.19179719422666267,17
