sheet_name,seed,lookback,train_ratio,n_features,fingerprint
iq50,11,7,0.7,7,4094f52fecac9ef8c44ac0a2d72325a1343f8b71c67d1fec0ace0b7ca7cab6a5
jeoboden,11,7,0.7,7,59fefbf1315c6cdb51c945bc2ce25ebfdc1bca9389b97db22e3fdc7db95bc343
jesuscoin,11,7,0.7,7,6e2cf5ffbe3317f0b2acf27fd65112901e24e6489f0efb54a8a42066b291746d
k9financedao,11,7,0.7,7,ee9d88b35004098067e6bf389b1d5df23a6d5119b7004ea16373cbd437addc38
katanainu,11,7,0.7,7,ece8a788896ee6ab5c73742298008b812581b64123cb25cd36d06fcca69a6589
kekistan,11,7,0.7,7,a495511877b82d5ecbf341a5e603011afac5cf9886d46fe235281947909c45d3
kiboshib,11,7,0.7,7,970ca40e21995ea80694c3d4531a23106e75abe22a5c932cf236ab2be409ec6d
kimbo,11,7,0.7,7,ff8120e74920d594781aefd3ad6b7a0974b25a2440588ad67556045fcab193ce
kittenhaimer,11,7,0.7,7,39c4255414be5b26226d5b178f98b91625b2dbaf211d93ff83790aeee356daa6
koalaai,11,7,0.7,7,2fbe799c8e35a752c3a8ce5deb4122813973dd2e8d1054b849092b0c4d473d0e
komainu,11,7,0.7,7,27998b7b4ff73a1b60912c878600d6b6eff51787d271666112eb0ffb0a90c264
leash,11,7,0.7,7,9dc92b7f7c1f71b49c7457344f119060a7f9d2f6831e0cf1be20390c6a39b244
lethimcook,11,7,0.7,7,44b0fd1d9992f6d83766ac2a04b5b261a1abf22217d3f636e167ae30dde2dd8a
lilyscoin,11,7,0.7,7,395a413ed87451efcff0a4b79131b15d108e012f63cef1984422c6dbe4cd5fe1
literallyme,11,7,0.7,7,6cf8b3711abd37959d3340b942c8e4d1f7b37cd83ae42eb3cddddf9d80251b17
littlemanyu,11,7,0.7,7,133c586695383f59b9207c607566fbb9d42ed1d2ccc4b3ee877a02aee797b191
lmeow2,11,7,0.7,7,9d4cf939066f0cfbc3193832bbe48eb8205ba8732ae1bf4467282fe4ea637d72
loafcat,11,7,0.7,7,b2efa1333db44412fa41a86d92ebed770af4b367f62a688568529445c57b94ec
lovelyinufinance,11,7,0.7,7,c4974de8ca6703b41a62818a89cd6dfd3a3a08faeb5f94f4d1f6e0dd5eccc87e
luci,11,7,0.7,7,10463571d4e093c134146b9b35893021885aa3baa508c68a3cee7d5dcd0a3dff
mad2,11,7,0.7,7,b957cbabc31c7d341e5ece62643c82b189376655d6c41bd2553877658ff9312e
magahat,11,7,0.7,7,a66b4831c68d120e6db565e4843139d04352c0ec78095e72dabd3dc2a47cc24e
majorfrog,11,7,0.7,7,a41be3ca47912b235042801ee3da83b86ed7b6b4990ae2a75aa858556310d820
mars2,11,7,0.7,7,3e9372a2c4652276be466b0b33ffc33960f4d4d35b384bd073025eaf9e702803
mellowman,11,7,0.7,7,5b8e0b3dd7396a87ae5b91fbe6a43c56c06f572037f95ebf99a344ef9280a80a
memesai,11,7,0.7,7,8e5b6dde1598f5621036f1627dfa5e730b57c96db363a39cec40133c55adb7e9
metamonopoly,11,7,0.7,7,ccbab5a4e6cb49f9de8d639af4c30869ac029c0b730446e5b5ae73c2ca9c9a68
miladywifhat,11,7,0.7,7,518f84f1c02f927a7dfb7674de2290816dbb5d3233ad50ad390c35c09207b2f1
mongcoin,11,7,0.7,7,93e0c3f4a222a21fc5491f6008879a09303c8e877b87ce18507b8016009eeaae
monkeyhaircut,11,7,0.7,7,5aeec0ca1bd26ef80704c17ecf59fa345f64ae6efcae5a21de9f2c4d4fa43ee1
moodeng2,11,7,0.7,7,07707ad752a92b30ed22d6c2176d3777af8b21607f4729331cc8dc5c55658b34
nailong,11,7,0.7,7,1acbea0bbb375744de36cc886e4873dbb367ba0dabf6f2a41d6208478e4ea818
nasdaq420,11,7,0.7,7,66f82d052529a4c819dfc193fe94767664a56ff86e2c53d753daa3e209b8da3a
neiro,11,7,0.7,7,4e3632e96f182f06b4c908c1269ca3cc7607d21c1993c64729fa56bceca17131
neiro2,11,7,0.7,7,aeed31eebbb6c989a82c5382eee0c5fe97c78050fed92e46454948605d295986
newbornhaggispygmyhippo,11,7,0.7,7,d36725e4db76fb3fcd1fb78f02bc78f95d00fd987af1579d6a437cdb95efbf0e
nomnom,11,7,0.7,7,27bf52c3d907bd301777c2a861ddf6b3c743ff37d77a121c956d2fdbe2a0bec3
npconsolana,11,7,0.7,7,cf50a5c055e447f414cee87997e506fcfcba2ceb670a41d8ff9647193761710e
numogram,11,7,0.7,7,194c7dae1f3f432f3da08f585ba2549a9994feca3ba9d92b87297ce0c1105da8
nya,11,7,0.7,7,6b7769c54be2e89f9b053077c65ccd5979c3def5a9819731634a3971ffd211bd
ogroaringkitty,11,7,0.7,7,f58cd77c806bf5137d026bd0c0c3dd91d4da0c4a06a871c0f7fd83db0f345b5d
omega2,11,7,0.7,7,9859489cc37c9a4c4192d2872e7fc22f73eb0147511bcf49b06e5bcc695b690f
optimusai,11,7,0.7,7,6a9c8aa9626d700ada3d98b2a213e990d4460301681260edab1b44fa7b5553b7
oscar,11,7,0.7,7,92303ad982576c32363a81a06f84105317aa0cfd016236a8c85e8aaaf2dd592f
pajamascat,11,7,0.7,7,bc5f26bfeb745f88ae900fce2390e7650364f0e8c5bc8db861bd35724dc6434d
patriot,11,7,0.7,7,f8328a38da168cb9df4822afd69152c2ea3471d9aafa979fb5180d73a3679d6f
peng,11,7,0.7,7,d21a6fdd104e163d987530c6696937fccf8cd517d1c96cc458922404a6614cef
pestothebabykingpenguin,11,7,0.7,7,db918304ab6a8331ffa7b5af0b48116d495ee33e5e04950ec2a72716ff5c2f29
phil,11,7,0.7,7,79bf27aaf966a16370055fdf67d78b97236bd7d3be9db34dfa26bf943eac9b70
pikaboss,11,7,0.7,7,57a7f3518a2db3277c48979d215af581fc980ab9804066fadb2f82835700d731
pochita,11,7,0.7,7,833a9ddbd8e9770c10a046957487877777f813c0581334ab9f3889931d630839
polydoge,11,7,0.7,7,1d2e42ebcd70a7fd0c8e113938e3c38f482836ccbb11005eb8e7232eef61c6fb
popdog,11,7,0.7,7,9ba2b6d20a6a75a3d0dd661504dc6ce98ba1973f6077985a42c84c3f52c00eb8
project89,11,7,0.7,7,27dfeb55dd84db2754093ec9eb1b46d0a22529bf95f3ce667c5d0e391449e062
prophetofethereum,11,7,0.7,7,20e403be03b6c561b6df1900f72190f051c18600ab5a9c666075fe9aff16475a
pundu,11,7,0.7,7,fcc1742955a8bcdb0753336ada1d68f917b6b780ea39157b305ec325f3f614eb
qstar,11,7,0.7,7,f6343342ede122c439636fd73807dfa2f3a5cc28676f5115804a39714980ce43
rawr,11,7,0.7,7,17915cfb18e245b48740f1e5fd1a8a15207c50873cc53598b0925c040d80cdb3
realsmurfcat,11,7,0.7,7,b03e11cf60df5bcd392e7a3cfd64a75dab01e33ab384696e718f0ac651e6db9a
ribbit2,11,7,0.7,7,31e6f8f7f1a8447c4f38315dcbef75f6f3a65b29bb687277746fc02b5dc967d5
riko,11,7,0.7,7,1b73f76d46ef793c97c88380d026c608288456c6d83b23154625f2ea5e2ca691
rockytherock,11,7,0.7,7,ad5053fc408ec0f86340e33a3c3d6fe25148fac5bb08f2cf9d1a8e94f97a62c8
ronnie,11,7,0.7,7,a1d100fef15e4db6010aae91ba5929fbee52aebcf6ba96a3dfe3443c73995d43
rsnoofi,11,7,0.7,7,654275677744a27ea453e145532ca94ad75fb5080a288e3b5edcb78ec329384f
ryujin,11,7,0.7,7,dfef0de2ed138dbd0e0b83d66b9d0003627b6924e57f02f790b8cbe9bed7007a
sadhamster,11,7,0.7,7,3ba45eecad3ba33f830800e16439584c7712c6274bdf23700d33e9a8bc005dab
samoyedcoin,11,7,0.7,7,b876734cde839024ce83677677ea679b9a753ee13f7bdd3d74b4d6f5510afdac
sharbi,11,7,0.7,7,734410f5efe2f293be54f6e57137f9d7d4d58bb00460d5549ecf9fd00a23fdc1
sharkcat,11,7,0.7,7,d3b9b954f2c4304507116b71f77809612e4a6bce99a12892282fa972c9358c0c
shinainu,11,7,0.7,7,62dd81a3643b36f5ac54782fc46cfd6b7aa62dd72591ff38d3d206b3dc0c8bce
shoggoth,11,7,0.7,7,0bd05c80851bf2f0437cad2d22010f69949ee1b5b8dfd063924c4ae5914c24f8
sillydragon,11,7,0.7,7,88af997a9bb881757e8561c96e8328c7fad3f2beeaff0ccb812303dfbe4094a7
sillynubcat,11,7,0.7,7,d700897bebb7d63815a0565e4b55780fda7ae9176a64f275d4af12c949e42b30
slop,11,7,0.7,7,4bc0b83a54dbed90b4a1b41af58a7f9927d142069ede3da79f3e231df558a517
slothana,11,7,0.7,7,71c1f7ae0a336fe11ba4ade001d6b50d9d9661a967ea1d3912813c053a20c890
snapkero,11,7,0.7,7,55fe3caeb34b722fb113202dd8560fd9860c78ea08d63e145ba5d9f3ea14060e
solchat,11,7,0.7,7,2b88c6c0e9be53a658b5d594ef697a3f670c4b714efbcb775ffb4f81a97f6e55
speedy2,11,7,0.7,7,f83748d51a0a26f9c456f6ea6236da0b689bfee8a5d96e535c7f0d06186b9bd0
squidgrow2,11,7,0.7,7,820f038ce3a66339450fe95b9b38440524408a14a08aa64f28f736ad212769a0
strategicbitcoinreserve,11,7,0.7,7,945adaaadba450af0cd2f0d8bfe5a2ce26c2fcc2ff31924168074b6c7ac06c5f
supercyclereal,11,7,0.7,7,edfb7e64d42f82f13d5f17935573a91bb6a981c0e5d1536e4f914eb67cbe9052
supertrump,11,7,0.7,7,313da86e32a3f5e8f2774c728a72a7d8efc52243111d1ed8dbb70da792e19162
suwi,11,7,0.7,7,c63882295cbe052de08736c73e5afc8f053e3b83505a6fa73ee638516b105038
taoinu,11,7,0.7,7,3412f7e98c39378fc9f44128d0b2d03a4313818fec5710e84d33ad2214ef3720
tateterminal,11,7,0.7,7,8760eb7d55d2742c623e08e1aad24662fe4a7339c0345f6601d70f36178b2492
tehepikduck,11,7,0.7,7,cc49f01931aaa6c8b974da7c6b88061ca2398ca600de33a523c542301d1f5054
terminus2,11,7,0.7,7,caa03baa37bd525350e26d3efd9cacfd051ab17e0ada4b8e69445a03a1220513
terminus3,11,7,0.7,7,c815f34ae64be1ef7ccbfd2c5dc46d5ff52cd9237f36abe7b3c23861fe289dd6
thebalkandwarf,11,7,0.7,7,6c3c79b35bcb235f17d712acb5b9dc2462c5b32308310b8a9ba072701fb6797c
thelastplay,11,7,0.7,7,9e0a7ecaa669e85b2516493856be3447f00e38c931f991f0c13cb2b06acde499
thereallandwolf,11,7,0.7,7,8abe761067257b3b63294d89b3d8d27c5e8d5a8c1d2336c5d5235b932a6148a9
thesoldog,11,7,0.7,7,55772a198d9ab399b16f6a85f48587b07dc3c9f7ba385eae4d8af7c780d262fd
tobi,11,7,0.7,7,d978156dda7df18f79a73ba13fc4607fd0b2f0dbe41ccd3c121c179a72f6787e
toga,11,7,0.7,7,ffa5f10910dedcea9dcee6a301f472f413b68ca62b6245d20984169312576df5
torsy,11,7,0.7,7,a808878cd8c71374c66ef202852cfda865cbd31482d6650a33c019310d17a5d1
troll,11,7,0.7,7,e588ee147f8f00fd6a781674eb1b0d7ec17b4192e44ff46b0e6df355f744d6e3
uranus3,11,7,0.7,7,4b097107ba198ccace7ce3d4646a203bd8d00c47b43427f360b00864312dcb44
valhallaindex,11,7,0.7,7,c57bfb255e942176b12dd3f48fdcd4f0dbaf6db3f8c3e57adfdbfe06511a4e26
vitainu,11,7,0.7,7,2bb079d5e77aa6b74379c0b38b94a8def2d5b9570afb26ef807ba2d661fd3b43
voltinu2,11,7,0.7,7,8ff4dba9c9164b84bb1d3211148528440180d5df554a5f858342587d31d568b5
waffles,11,7,0.7,7,afc3844eac9f20ae621bd310ad39e791b8939ede79715258cc0a70681374381d
wassie,11,7,0.7,7,7b4280c3cb92bc1030130a5827051289a6b04e8e593804d6790b51aae32f3ba8
why,11,7,0.7,7,9ac3c2f20ad220754622584ffdf1611ec673384eb5754251e7edfe41b4e226a5
winniethepoodle,11,7,0.7,7,af32ff417ef588196f9fcf272042d5e4a15d8d66f038da89c14b805140af1daa
wrappeddog,11,7,0.7,7,8d77bdba592bb635e338238bef93bd617314c9b2abc341777011a0093c34dbbc
zerotech,11,7,0.7,7,4529fd4e0236103b0e5bbd6c0f9c8414268fd897f2d8cedb780708c87f525885
zoomer,11,7,0.7,7,c30536a76372279dd5791c38ab24d9559bbc07af67102938165563d3250f5ef2
zyncoin2,11,7,0.7,7,65be59b5138ca4c26a95e4fd00f018e56f1af661acbc1a514e469e8ed7af0c2f
360noscope420blazeit,17,7,0.7,7,f9e5f3b19172c980bc028937d3004da44f46d2aea199d88227642a356447b850
888token,17,7,0.7,7,56999e17dc5ac7349cec1693ae5e2b6a561754ab58eec59123c1ebe31b923762
abi,17,7,0.7,7,83dc50b4f100413b699efc26de95274e2a55dd05d01a79c6b5a90a3e0e8af216
ai16z,17,7,0.7,7,05742bea3456ced9ff533093684367f10cb00ade9d67cdee76a5d7939916b01d
aicrystalnode,17,7,0.7,7,09a7b75d64c05c81365d853f2043e275f0537bb64f9c9af063967f2811584793
aiinu,17,7,0.7,7,f0c60506ce987416ff8aca30ce72dace9320733bfb29c89ecf774c30199544fc
aiwithdaddyissues,17,7,0.7,7,4aeee0e90c30117165c9f88131c84040f8912f79f55577b7360bbee7064e3407
akiprotocol,17,7,0.7,7,108a6d1dba56cba57ff81ad2f1998836002482153bb3b2d94d0806e1cd3c9f9c
amaterasuomikami,17,7,0.7,7,699a798b51188e7fbe252d75ba50ad451585bd3aaa7b3173c4831e97290a4ee5
americancoin,17,7,0.7,7,010cfd2c1eb95b591046b729219cdd732145eca07feca9d93a3b0edbf34066db
analos,17,7,0.7,7,6dc6614d7903e6012bc1f45e51cd87a82f40053cf148f0d6381d86e333def531
andyman,17,7,0.7,7,2fe577b291e1d3b577a7f01c53c4849e4ec61f6f7cc51e90b5a829000a970881
anyinu,17,7,0.7,7,23fef3c5dfe4b511519775104336600010f5f7c528f0b2d1fac106b2dac02759
astropepex,17,7,0.7,7,247027b4c4085f24726c4ac6e23fe4dd9f18f81b10aad262363643e5b3f8706b
auraonsol,17,7,0.7,7,9db4daf60162fa3d91bbad559284f7a29b07122859ea94a252d8dae0e59e8cd0
autism2,17,7,0.7,7,cd80b001ed9bd6d919fa656dfffb23c6630b14e8fcb76cba4d9b523bc71eb575
autonomousvirtualbeings,17,7,0.7,7,3fd89777afa88a42b3d1b5d70b1c5219a410b8bf9ffd6309b6063241c51ef95d
avaxhasnochill,17,7,0.7,7,edc0f9d627baf42e754d128147e00e7d0b0cddbacccc2d6b82e2c12e40e7461d
babybnb,17,7,0.7,7,93550e52e187fff05d702bb64dd811fa5adcf7d924ef5a017ef3d360d007191c
babyneirotoken,17,7,0.7,7,ba15530a0a0986efb2a56b89669b0a9e70a0d47387b4859d7af33d3350f31759
babywen,17,7,0.7,7,55d0d33d52fa731ed88bdcad404c3c9d677f6b022d6d82b528bd4b73c91ac33f
badideaai,17,7,0.7,7,d9aa512227e36d0400e66a1c778a6288fe98c129a9287ae4d05d64f6a2d2ec4d
bananatapewall,17,7,0.7,7,bcf060c5cda9742dab904ac786fb35d4b8caadf636fadd58bcac5e7c5181bfd7
beercoin2,17,7,0.7,7,60113e0fb85b6923a84db2173786e085cb6de9cc7c93144b564ccc20b3558b0f
benthedog,17,7,0.7,7,960a4418c720c74b92fdd8b4204431d8b5431e1ce2933de42b295e03f86fa2fd
billy,17,7,0.7,7,26d263b316377ab460ca5fe6f3a0a170dae7ed5b554e8ddb892c0ba069886309
bingusthecat,17,7,0.7,7,3703e10d6bc84c4f9f1c2665af9be70131ccc55e30051e61ca5b7c7be3d03290
bitcat2,17,7,0.7,7,64028c06b23d1ee37ff209928db75211de853c9eea9ce63badc1daa60635ef57
bobaoppa,17,7,0.7,7,1a6868100ce5f39b4c4af44d1636fda92793bdc874906379e1637c3a23d5c13a
bobtoken,17,7,0.7,7,f7f48e93f7431fca9ae581d31fc6d4102b3a2d64c6a9df61b01f2f5c0b4f0d5b
bongocat,17,7,0.7,7,348e82e666798413d9f9d880ae026e673d3f1d2551287be6e5c567c5db8b3ad6
brainlet2,17,7,0.7,7,e7d82c634d96dae9bc5e53461afb311831b0bfa015fbfe3f16e6b1586d72a5f9
brothecat,17,7,0.7,7,c5f07b01bba94ad7b78d5013a22d10b583a99c7f2684f646b1a06d1f34603092
buu,17,7,0.7,7,718badee0ebef22df287e69b4e126c881d2fc1cd3b446cecddc984b25c35571b
catalorian,17,7,0.7,7,ca3669baed1a852fd9fc2a37154d2c50497075480e03e4aef0abed1985b49a85
catana,17,7,0.7,7,955024f47fee88b164326bd582c7714e0c171970a0f9d934209cf5b87c388729
catecoin,17,7,0.7,7,9c8fc561668c762ddca5c943aff874c1138c8fd2a41550cbfd26d16816a4a0f4
