sheet_name,seed,comparison,delta_mae
hana,23,V0_to_V1,0.0025660333206765154
harrypottertrumphomersimpson777inu,11,V0_to_V1,0.02555191290949263
harrypottertrumphomersimpson777inu,17,V0_to_V1,0.02380590968918723
harrypottertrumphomersimpson777inu,23,V0_to_V1,-0.04682148689872417
hawk2,11,V0_to_V1,0.04367397031628608
hawk2,17,V0_to_V1,0.04805451404834328
hawk2,23,V0_to_V1,0.03685685013147487
hege,11,V0_to_V1,0.029682350488238415
hege,17,V0_to_V1,-0.004864394065723761
hege,23,V0_to_V1,-0.008879890196263937
hehecat,11,V0_to_V1,0.012606083930081223
hehecat,17,V0_to_V1,0.0029294648833637915
hehecat,23,V0_to_V1,0.012215486311785852
hemule,11,V0_to_V1,0.018878845027641672
hemule,17,V0_to_V1,0.01921438828109084
hemule,23,V0_to_V1,-0.0011945019753132266
historyofpepe,11,V0_to_V1,0.03586473353718216
historyofpepe,17,V0_to_V1,0.05752276719010743
historyofpepe,23,V0_to_V1,-0.04229527289245528
honk,11,V0_to_V1,0.017341491722809493
honk,17,V0_to_V1,0.026060993163367865
honk,23,V0_to_V1,-0.000803754697904703
hund,11,V0_to_V1,0.04877658291484019
hund,17,V0_to_V1,0.01719770991434951
hund,23,V0_to_V1,-0.036134898495183324
iiiilovvvyouuuu,11,V0_to_V1,0.043543024275855706
iiiilovvvyouuuu,17,V0_to_V1,0.021814566604034136
iiiilovvvyouuuu,23,V0_to_V1,-0.0031225299948656124
illuminaticoin,11,V0_to_V1,0.014884791100741823
illuminaticoin,17,V0_to_V1,0.029703118745887026
illuminaticoin,23,V0_to_V1,-0.0005689499943324211
inferno2,11,V0_to_V1,0.07988607364800458
inferno2,17,V0_to_V1,0.03434868394413043
inferno2,23,V0_to_V1,-0.021949834304380446
iq50,11,V0_to_V1,0.02424740448713445
iq50,17,V0_to_V1,0.037732666748608826
iq50,23,V0_to_V1,0.015605426919523394
jeoboden,11,V0_to_V1,0.018975045548095187
jeoboden,17,V0_to_V1,0.027448232369714352
jeoboden,23,V0_to_V1,-0.002597202773574399
jesuscoin,11,V0_to_V1,0.039137353538382075
jesuscoin,17,V0_to_V1,-0.018270296418823183
jesuscoin,23,V0_to_V1,-0.0046363080778135946
k9financedao,11,V0_to_V1,0.04695821980983354
k9financedao,17,V0_to_V1,0.02866030345887064
k9financedao,23,V0_to_V1,0.03401425793441977
katanainu,11,V0_to_V1,0.04067706118985011
katanainu,17,V0_to_V1,0.021152237191618867
katanainu,23,V0_to_V1,0.03572939415748899
kekistan,11,V0_to_V1,0.039855109717151435
kekistan,17,V0_to_V1,0.04322816869416488
kekistan,23,V0_to_V1,-0.006672201570422746
kiboshib,11,V0_to_V1,0.0228175438885245
kiboshib,17,V0_to_V1,0.024971354213319478
kiboshib,23,V0_to_V1,0.01934221696146978
kimbo,11,V0_to_V1,0.0558496035240149
kimbo,17,V0_to_V1,0.021317890722874197
kimbo,23,V0_to_V1,0.04144341954418004
kittenhaimer,11,V0_to_V1,-0.10776382723035438
kittenhaimer,17,V0_to_V1,-0.07898170692975132
kittenhaimer,23,V0_to_V1,-0.030136772898910397
koalaai,11,V0_to_V1,0.027541603579891476
koalaai,17,V0_to_V1,0.03483219820589255
koalaai,23,V0_to_V1,0.017631475259076712
komainu,11,V0_to_V1,-0.03890335574276105
komainu,17,V0_to_V1,-0.06556379150161537
komainu,23,V0_to_V1,0.0025858047673294957
leash,11,V0_to_V1,-0.593645027137299
leash,17,V0_to_V1,-0.4740413446569143
leash,23,V0_to_V1,-0.5203851115832343
lethimcook,11,V0_to_V1,0.03281310752047801
lethimcook,17,V0_to_V1,0.03109599387873873
lethimcook,23,V0_to_V1,0.005047855231101968
lilyscoin,11,V0_to_V1,-0.006006950564793542
lilyscoin,17,V0_to_V1,-0.048223427343583355
lilyscoin,23,V0_to_V1,-0.00037103517672090747
literallyme,11,V0_to_V1,0.010635929107020537
literallyme,17,V0_to_V1,0.028112630056529815
literallyme,23,V0_to_V1,0.0009460296560023368
littlemanyu,11,V0_to_V1,0.01784959354209219
littlemanyu,17,V0_to_V1,0.009257491901795652
littlemanyu,23,V0_to_V1,0.04594739099392543
lmeow2,11,V0_to_V1,0.002386229818182671
lmeow2,17,V0_to_V1,-0.04023281032018713
lmeow2,23,V0_to_V1,0.030535940540067818
loafcat,11,V0_to_V1,0.011421474339683605
loafcat,17,V0_to_V1,0.02162609663386457
loafcat,23,V0_to_V1,0.011317074725515117
lovelyinufinance,11,V0_to_V1,0.0330660963277186
lovelyinufinance,17,V0_to_V1,0.006438284653720011
lovelyinufinance,23,V0_to_V1,0.03409864129854793
luci,11,V0_to_V1,0.026001789152706907
luci,17,V0_to_V1,0.02249172586639884
luci,23,V0_to_V1,-0.0047373470909684995
mad2,11,V0_to_V1,0.02331801789921866
mad2,17,V0_to_V1,0.02582143625163566
mad2,23,V0_to_V1,-0.0057029616330358315
magahat,11,V0_to_V1,0.014920936356608322
magahat,17,V0_to_V1,0.02956167078587746
magahat,23,V0_to_V1,-0.0005755105656670007
majorfrog,11,V0_to_V1,0.02468535737163394
majorfrog,17,V0_to_V1,0.03070856493656807
majorfrog,23,V0_to_V1,-0.008645011036280403
mars2,11,V0_to_V1,0.028852314688308914
mars2,17,V0_to_V1,0.03253641357289211
mars2,23,V0_to_V1,0.014399801635650258
mellowman,11,V0_to_V1,0.007788240867216561
mellowman,17,V0_to_V1,-0.016519401420787103
mellowman,23,V0_to_V1,0.01850451203696571
memesai,11,V0_to_V1,-0.021293107867969438
memesai,17,V0_to_V1,-0.045959894601178775
memesai,23,V0_to_V1,0.008954691469911333
metamonopoly,11,V0_to_V1,0.04622127570464455
metamonopoly,17,V0_to_V1,-0.018389429882048863
metamonopoly,23,V0_to_V1,0.030477388611819693
miladywifhat,11,V0_to_V1,0.030272456730563876
miladywifhat,17,V0_to_V1,0.014500187043518388
miladywifhat,23,V0_to_V1,0.01611759097034731
mongcoin,11,V0_to_V1,0.01488343396912011
mongcoin,17,V0_to_V1,0.02970414229290206
mongcoin,23,V0_to_V1,-0.0005688636469124639
monkeyhaircut,11,V0_to_V1,0.021408588080823854
monkeyhaircut,17,V0_to_V1,0.0317606147156177
monkeyhaircut,23,V0_to_V1,0.010226142103736055
moodeng2,11,V0_to_V1,0.015008871433636339
moodeng2,17,V0_to_V1,0.029492464131718497
moodeng2,23,V0_to_V1,-0.0005814811852710086
nailong,11,V0_to_V1,0.0026213318387846
nailong,17,V0_to_V1,-0.030709489979105643
nailong,23,V0_to_V1,-0.0020094867314544226
nasdaq420,11,V0_to_V1,0.031564979634721706
nasdaq420,17,V0_to_V1,0.028649679583832445
nasdaq420,23,V0_to_V1,0.03980382116378546
neiro,11,V0_to_V1,0.022184609687935807
neiro,17,V0_to_V1,0.020217470221859983
neiro,23,V0_to_V1,-0.0004645720886231053
neiro2,11,V0_to_V1,0.024284741447449996
neiro2,17,V0_to_V1,0.02150451220613864
neiro2,23,V0_to_V1,0.017761710184958118
newbornhaggispygmyhippo,11,V0_to_V1,0.015335366266542746
newbornhaggispygmyhippo,17,V0_to_V1,0.027002326657748293
newbornhaggispygmyhippo,23,V0_to_V1,-0.0007059502852579391
nomnom,11,V0_to_V1,0.021753134176433313
nomnom,17,V0_to_V1,0.023392890386109984
nomnom,23,V0_to_V1,0.0023455292398004285
npconsolana,11,V0_to_V1,0.012530951087684952
npconsolana,17,V0_to_V1,0.0077434537313492285
npconsolana,23,V0_to_V1,0.023241215000353907
numogram,11,V0_to_V1,0.037471970055640895
numogram,17,V0_to_V1,-0.004899523927614349
numogram,23,V0_to_V1,-0.004913862793416622
nya,11,V0_to_V1,0.03372405332807349
nya,17,V0_to_V1,0.032729945988470045
nya,23,V0_to_V1,0.017460782754349362
ogroaringkitty,11,V0_to_V1,0.01566388837782901
ogroaringkitty,17,V0_to_V1,0.019915152518869335
ogroaringkitty,23,V0_to_V1,-0.004804031347073363
omega2,11,V0_to_V1,0.006501324483893921
omega2,17,V0_to_V1,0.003564403325401977
omega2,23,V0_to_V1,0.009982285282617978
optimusai,11,V0_to_V1,-0.03680545312026741
optimusai,17,V0_to_V1,-0.06597137661196015
optimusai,23,V0_to_V1,0.010728106241143289
oscar,11,V0_to_V1,0.04429838456143288
oscar,17,V0_to_V1,0.039479288890133656
oscar,23,V0_to_V1,0.001549334222790355
pajamascat,11,V0_to_V1,0.03297185575183133
pajamascat,17,V0_to_V1,0.021839765382455016
pajamascat,23,V0_to_V1,0.009945765826215903
patriot,11,V0_to_V1,0.02353923757457381
patriot,17,V0_to_V1,0.02719507539426354
patriot,23,V0_to_V1,0.00044583444072052864
peng,11,V0_to_V1,-0.07255600340370315
peng,17,V0_to_V1,-0.08898893718458808
peng,23,V0_to_V1,0.031549287574493386
pestothebabykingpenguin,11,V0_to_V1,0.04133467200738756
pestothebabykingpenguin,17,V0_to_V1,0.04321915752798801
pestothebabykingpenguin,23,V0_to_V1,-0.020759383960662077
phil,11,V0_to_V1,0.010414799074358778
phil,17,V0_to_V1,-0.005441985333688448
phil,23,V0_to_V1,0.010278436981508071
pikaboss,11,V0_to_V1,0.005288946936774514
pikaboss,17,V0_to_V1,-0.012804479197251474
pikaboss,23,V0_to_V1,0.024957364608080172
pochita,11,V0_to_V1,0.052565751421275335
pochita,17,V0_to_V1,0.045124189503449846
pochita,23,V0_to_V1,-0.015744274945897682
polydoge,11,V0_to_V1,0.05327754582106151
polydoge,17,V0_to_V1,0.03995385566476994
polydoge,23,V0_to_V1,0.02841072554448467
popdog,11,V0_to_V1,0.0381282884822878
popdog,17,V0_to_V1,-0.02289921929202932
popdog,23,V0_to_V1,-0.04074307682097759
project89,11,V0_to_V1,0.004118942922421782
project89,17,V0_to_V1,0.0031718676500441453
project89,23,V0_to_V1,-0.008123266518386463
prophetofethereum,11,V0_to_V1,0.010324837228701499
prophetofethereum,17,V0_to_V1,-0.0011665845274680155
prophetofethereum,23,V0_to_V1,0.026962129674881305
pundu,11,V0_to_V1,0.03799765896090221
pundu,17,V0_to_V1,0.026049375709053378
pundu,23,V0_to_V1,-0.008645409930723269
qstar,11,V0_to_V1,0.034358175298036135
qstar,17,V0_to_V1,0.03507175417792886
qstar,23,V0_to_V1,0.005952077541409709
rawr,11,V0_to_V1,0.0038283219709426587
rawr,17,V0_to_V1,0.0031625714819973373
rawr,23,V0_to_V1,0.026188067332306025
realsmurfcat,11,V0_to_V1,0.02119670188815102
realsmurfcat,17,V0_to_V1,0.025735767511189948
