sheet_name,seed,lookback,train_ratio,mae,rmse,mape,directional_accuracy,roi_proxy
bobaoppa,17,7,0.8,0.0002157181920207931,0.000262129348784984,12.185878756274668,0.6470588235294118,0.10991992604731622
bobtoken,17,7,0.8,1.3187242486950613e-05,1.3349168195091054e-05,92.19486935069654,0.11764705882352941,-0.10087793892224482
bongocat,17,7,0.8,0.026779878475691066,0.026991787882851476,252.7246416819953,0.058823529411764705,-0.1586736339990352
brainlet2,17,7,0.8,0.01038296984302535,0.010420526087610972,358.3135255811347,0.17647058823529413,-0.1439061241718671
brothecat,17,7,0.8,0.0006617276591833438,0.000696909517442594,134.86119513391876,0.35294117647058826,0.08739482252240835
buu,17,7,0.8,0.002195724393221222,0.0022068996877078334,225.47486820969644,0.23529411764705882,-0.13198807976197252
catalorian,17,7,0.8,0.003879227881523329,0.004043314958735853,190.54095024746218,0.23529411764705882,-0.19845141894299484
catana,17,7,0.8,0.016938841207875397,0.017136844823705425,462.2211945463863,0.23529411764705882,-0.16287810413822634
catecoin,17,7,0.8,8.938133369344473e-08,9.006778665021834e-08,60.7242322435822,0.11764705882352941,-0.05270771363240859
catwifhat2,17,7,0.8,1.3619673868264952e-07,1.3790348682310845e-07,76.96628017016467,0.29411764705882354,-0.0609637608434058
chonky,17,7,0.8,6.293999226860741e-06,6.356465703595228e-06,81.63456975894466,0.29411764705882354,-0.08012435296117495
chudjak,17,7,0.8,0.005187349083724101,0.005326205287460305,79.83312553063509,0.23529411764705882,-0.07016691654941665
coal2,17,7,0.8,0.02468235485511822,0.02560212708418793,64.80201037154005,0.23529411764705882,-0.03865139437002514
costcohotdog,17,7,0.8,0.001374501137841007,0.001448390057665503,96.0623125964565,0.23529411764705882,-0.07950236986504924
crashout,17,7,0.8,0.0008076425356964165,0.0011370058972827617,13.79946455278831,0.7647058823529411,0.10558661068865416
csi888,17,7,0.8,0.0008417242062000128,0.0008930323474452905,120.14682454122784,0.17647058823529413,-0.14054722122151472
cumrocket,17,7,0.8,0.0014326425945942352,0.0014913788415810724,36.2415196040243,0.11764705882352941,-0.05954851012059566
dancingtriangle2,17,7,0.8,0.0002401464111149781,0.00028014459024202547,54.45693152686564,0.4117647058823529,-0.05645693671455469
darkmaga,17,7,0.8,0.0011066724829027496,0.0012222669931355227,34.81788229800891,0.5882352941176471,0.05431272600183689
deepworm,17,7,0.8,0.01884881550924486,0.019149441499978905,485.47708820117805,0.17647058823529413,-0.2389638138267274
degenspartanai,17,7,0.8,0.027031544592601014,0.028407948625675864,196.84666419305194,0.17647058823529413,-0.18530112095067844
dejitarutsuka,17,7,0.8,0.00340393421027645,0.0035313068234992177,72.54260718987561,0.058823529411764705,-0.09574241154526134
dinolfg,17,7,0.8,0.0024712516179764953,0.0025210427044658878,91.41923477203049,0.17647058823529413,-0.1095885179914584
